table,State,Starting_Colonies,Max_Colonies,Lost_colonies,Percent_lost,Added_colonies,Renovated_colonies,Percent_renovated,date
5,Alabama,7000.0,7000.0,1800.0,26.0,2800.0,250.0,4.0,2015-01-01 00:00:00
5,Arizona,35000.0,35000.0,4600.0,13.0,3400.0,2100.0,6.0,2015-01-01 00:00:00
5,Arkansas,13000.0,14000.0,1500.0,11.0,1200.0,90.0,1.0,2015-01-01 00:00:00
5,California,1440000.0,1690000.0,255000.0,15.0,250000.0,124000.0,7.0,2015-01-01 00:00:00
5,Colorado,3500.0,12500.0,1500.0,12.0,200.0,140.0,1.0,2015-01-01 00:00:00
5,Connecticut,3900.0,3900.0,870.0,22.0,290.0,0.0,0.0,2015-01-01 00:00:00
5,Florida,305000.0,315000.0,42000.0,13.0,54000.0,25000.0,8.0,2015-01-01 00:00:00
5,Georgia,104000.0,105000.0,14500.0,14.0,47000.0,9500.0,9.0,2015-01-01 00:00:00
5,Hawaii,10500.0,10500.0,380.0,4.0,3400.0,760.0,7.0,2015-01-01 00:00:00
5,Idaho,81000.0,88000.0,3700.0,4.0,2600.0,8000.0,9.0,2015-01-01 00:00:00
5,Illinois,6000.0,10500.0,4200.0,40.0,2300.0,390.0,4.0,2015-01-01 00:00:00
5,Indiana,9000.0,9500.0,2100.0,22.0,490.0,120.0,1.0,2015-01-01 00:00:00
5,Iowa,12500.0,17500.0,3100.0,18.0,1700.0,270.0,2.0,2015-01-01 00:00:00
5,Kansas,4600.0,7000.0,1600.0,23.0,450.0,70.0,1.0,2015-01-01 00:00:00
5,Kentucky,7500.0,10500.0,4100.0,39.0,250.0,0.0,0.0,2015-01-01 00:00:00
5,Louisiana,51000.0,51000.0,8000.0,16.0,3100.0,6500.0,13.0,2015-01-01 00:00:00
5,Maine,3100.0,6500.0,380.0,6.0,20.0,0.0,0.0,2015-01-01 00:00:00
5,Maryland,7500.0,10000.0,4100.0,41.0,1600.0,870.0,9.0,2015-01-01 00:00:00
5,Massachusetts,2900.0,4600.0,1000.0,22.0,260.0,120.0,3.0,2015-01-01 00:00:00
5,Michigan,16500.0,60000.0,11500.0,19.0,7500.0,2400.0,4.0,2015-01-01 00:00:00
5,Minnesota,28000.0,74000.0,3700.0,5.0,690.0,530.0,1.0,2015-01-01 00:00:00
5,Mississippi,34000.0,76000.0,8500.0,11.0,22000.0,7500.0,10.0,2015-01-01 00:00:00
5,Missouri,12000.0,13000.0,2000.0,15.0,220.0,910.0,7.0,2015-01-01 00:00:00
5,Montana,8500.0,36000.0,2200.0,6.0,1400.0,1100.0,3.0,2015-01-01 00:00:00
5,Nebraska,10000.0,31000.0,2600.0,8.0,120.0,310.0,1.0,2015-01-01 00:00:00
5,New Jersey,6000.0,9000.0,1100.0,12.0,570.0,1600.0,18.0,2015-01-01 00:00:00
5,New Mexico,7000.0,7000.0,690.0,10.0,190.0,600.0,9.0,2015-01-01 00:00:00
5,New York,27000.0,30000.0,6500.0,22.0,430.0,950.0,3.0,2015-01-01 00:00:00
5,North Carolina,24000.0,26000.0,7000.0,27.0,6000.0,690.0,3.0,2015-01-01 00:00:00
5,North Dakota,57000.0,120000.0,620.0,1.0,1800.0,530.0,0.25,2015-01-01 00:00:00
5,Ohio,18000.0,22000.0,10500.0,48.0,5000.0,3300.0,15.0,2015-01-01 00:00:00
